Column 4,ABC,Agency Name,Agency description
177,E,Export-Import Bank of the United States (EXIM),"The Export-Import Bank of the United States (EXIM) assists American businesses export their goods by providing financial assistance in the form of loans, loan guarantees and insurance. The focus of the Export-Import Bank is on assisting small businesses."
178,F,Fair Housing and Equal Opportunity (FHEO),The Office of Fair Housing and Equal Opportunity (FHEO) enforces federal laws and establishes policies to ensure that all Americans have equal access to the housing of their choice.
179,F,Fannie Mae,Fannie Mae purchases mortgages from lending institutions in an effort to increase affordable lending activity at those institutions. Fannie Mae is not a federal agency. It is a government-sponsored enterprise under the conservatorship of the Federal Housing Finance Agency (FHFA).
180,F,Farm Credit Administration (FCA),"The Farm Credit Administration (FCA) is an independent financial regulatory agency that oversees the Farm Credit System, a nationwide network of lending institutions that serve farmers, ranchers, agricultural cooperatives, and other eligible borrowers. It also oversees the Federal Agricultural Mortgage Corporation or Farmer Mac, which provides a secondary market for agricultural real estate mortgage loans, rural housing loans, and rural cooperative loans."
181,F,Farm Credit System Insurance Corporation (FCSIC),"The Farm Credit System Insurance Corporation (FCSIC) ensures the payment of principal and interest on insured notes, bonds, and other obligations issued on behalf of Farm Credit System."
182,F,Farm Service Agency (FSA),"The Farm Service Agency (FSA) supports farms and farming communities with programs including disaster relief, conservation programs, commodity price guarantee programs, and loan programs."
183,F,Federal Accounting Standards Advisory Board (FASAB),The Federal Accounting Standards Advisory Board (FASAB) serves the public interest by improving federal financial reporting through issuing federal financial accounting standards and providing guidance after considering the needs of external and internal users of federal financial information.
184,F,Federal Aviation Administration (FAA),The Federal Aviation Administration (FAA) works to ensure that air travel is safe.
185,F,Federal Bureau of Investigation (FBI),"The Federal Bureau of Investigation (FBI) enforces federal law, and investigates a variety of criminal activity including terrorism, cybercrime, white collar crimes, public corruption, civil rights violations, and other major crimes. In an emergency dial 911!"
186,F,Federal Bureau of Prisons (FBOP),"The Federal Bureau of Prisons (FBOP) manages federal prisons, and community-based facilities that provide work and opportunities to assist offenders."
187,F,Federal Committee on Statistical Methodology (FCSM),"The Federal Committee on Statistical Methodology (FCSM) was founded in 1975 by the Statistical and Science Policy Branch (formerly, the Office of Statistical Policy) in the Office of Information and Regulatory Affairs in the Office of Management and Budget (OMB) to assist in carrying out SSP/OMB's role in setting and coordinating statistical policy."
188,F,Federal Communications Commission (FCC),"The Federal Communications Commission (FCC) regulates interstate and international communications through cable, radio, television, satellite and wire. The goal of the Commission is to promote connectivity and ensure a robust and competitive market."
189,F,Federal Consulting Group (FCG),"The Federal Consulting Group (FCG) offers consulting, executive coaching, and performance and customer satisfaction measuring services to federal agencies."
190,F,Federal Deposit Insurance Corporation (FDIC),"The Federal Deposit Insurance Corporation (FDIC) answers questions about federal deposit insurance coverage, and handles complaints and inquiries about FDIC-insured state banks which are not members of the Federal Reserve System."
191,F,Federal Election Commission (FEC),"The Federal Election Commission (FEC) enforces federal campaign finance laws, including monitoring donation prohibitions, and limits and oversees public funding for presidential campaigns."
192,F,Federal Emergency Management Agency (FEMA),"The Federal Emergency Management Agency (FEMA) supports citizens and emergency personnel to build, sustain, and improve the nation's capability to prepare for, protect against, respond to, recover from, and mitigate all hazards."
193,F,Federal Energy Regulatory Commission (FERC),"The Federal Energy Regulatory Commission (FERC) regulates interstate transmission of electricity, natural gas, and oil, and also regulates hydropower projects and natural gas terminals."
194,F,Federal Executive Boards (FEBs),"Federal Executive Boards (FEBs) operate in 28 US cities and provide a forum for collaboration and information exchange between federal field agencies. In this way, field agencies may share best practices and lessons learned, or may coordinate efforts when different agencies adopt programs with similar goals."
195,F,Federal Financial Institutions Examination Council (FFIEC),The Federal Financial Institutions Examination Council (FFIEC) is an interagency body that seeks to standardize the oversight criteria and methods of the various financial regulatory bodies.
196,F,Federal Financing Bank (FFB),"The Federal Financing Bank (FFB) was created to centralize, reduce the cost of, and efficiently manage federal borrowing."
197,F,Federal Geographic Data Committee (FGDC),"The Federal Geographic Data Committee (FGDC) is an interagency group that promotes and coordinates the production, use, and publication of geospatial data."
198,F,Federal Highway Administration (FHWA),"The Federal Highway Administration (FHWA) supports state and local government in the design, construction, and maintenance of the highway system."
199,F,Federal Housing Administration (FHA),"The Federal Housing Administration (FHA) provides mortgage insurance on single-family, multifamily, manufactured home, and hospital loans made by FHA-approved lenders throughout the United States and its territories."
200,F,Federal Housing Finance Agency (FHFA),"The Federal Housing Finance Agency (FHFA) provides supervision, regulation, and housing mission oversight of Fannie Mae, Freddie Mac, and the Federal Home Loan Banks."
201,F,Federal Judicial Center,The Federal Judicial Center conducts policy research and provides continuing education resources for the judicial branch.
202,F,Federal Labor Relations Authority (FLRA),The Federal Labor Relations Authority (FLRA) is a quasi-judicial body that manages relations between federal agencies and employees.
203,F,Federal Laboratory Consortium for Technology Transfer (FLC),"The Federal Laboratory Consortium for Technology Transfer (FLC) facilitates knowledge and technology sharing across federal laboratories, and speeds the adoption of new knowledge and technologies in the wider economy by facilitating the sharing federal research with non-governmental public and private entities."
204,F,Federal Law Enforcement Training Centers (FLETC),"The Federal Law Enforcement Training Centers (FLETC), through strategic partnerships, prepares the federal law enforcement community to safeguard Americaâ€™s people, property, and institutions."
205,F,Federal Library and Information Network (FEDLINK),The Federal Library and Information Network (FEDLINK) coordinates and shares available resources to provide continuing education and training to federal library and information center employees.
206,F,Federal Maritime Commission (FMC),"The Federal Maritime Commission (FMC) is responsible for regulating the U.S. international ocean transportation system for the benefit of U.S. exporters, importers, and the U.S. consumer."
207,F,Federal Mediation and Conciliation Service (FMCS),The Federal Mediation and Conciliation Service (FMCS) provides mediation and other conflict resolution services for managing and enhancing labor-management relationships.
208,F,Federal Mine Safety and Health Review Commission,The Federal Mine Safety and Health Review Commission is an independent agency that administers trials and hears appeals of disputes relating directly to the Mine Safety and Health Act of 1977.
209,F,Federal Motor Carrier Safety Administration (FMCSA),The Federal Motor Carrier Safety Administration (FMCSA) works to prevent deaths and injuries related to commercial motor vehicles. You can file a complaint with the Federal Motor Carrier Safety Administration if you have trouble with a mover.
210,F,Federal Protective Service (FPS),The Federal Protective Service (FPS) is a federal law enforcement agency that provides security and law enforcement services to federally owned and leased buildings.
211,F,Federal Railroad Administration (FRA),"The Federal Railroad Administration (FRA) creates and enforces rail safety regulations, administers rail funding, and researches rail improvement strategies and technologies."
212,F,Federal Register (OFR),"The Office of the Federal Register (OFR) oversees the Federal Register publication system, making available the full text of federal laws and regulations, presidential documents, and other federal program information."
213,F,Federal Reserve System,The Federal Reserve is the central bank of the United States. It formulates and administers credit and monetary policy.
214,F,Federal Retirement Thrift Investment Board (FRTIB),"The Federal Retirement Thrift Investment Board (FRTIB) administers the Thrift Savings Plan, a tax-deferred retirement account similar to a 401(k)."
215,F,Federal Student Aid Information Center,"Federal Student Aid provides more than $125 billion in federal grants, work-study, and loans for students attending career schools, community colleges, and colleges or universities."
216,F,Federal Trade Commission (FTC),"The Federal Trade Commission (FTC) works to prevent fraudulent, deceptive, and unfair business practices. They also provide information to help consumers spot, stop, and avoid scams and fraud."
217,F,Federal Transit Administration (FTA),"The Federal Transit Administration (FTA) seeks to improve public transportation by assisting state and local governments with planning, implementation, and financing public transportation projects."
218,F,Federal Voting Assistance Program,The Federal Voting Assistance Program helps uniformed services and voters outside of the U.S. exercise their right to vote.
219,F,FedStats (FCSM),"The Federal Committee on Statistical Methodology (FCSM) was founded in 1975 by the Statistical and Science Policy Branch (formerly, the Office of Statistical Policy) in the Office of Information and Regulatory Affairs in the Office of Management and Budget (OMB) to assist in carrying out SSP/OMB's role in setting and coordinating statistical policy."
220,F,Fire Administration (USFA),"The United States Fire Administration (USFA), part of the Federal Emergency Management Agency, works to prepare for, prevent, respond to all hazards."
221,F,"Fiscal Service, Bureau of the","The Bureau of the Fiscal Service manages all federal payments and collections, and provides government-wide accounting and reporting services. You can contact them to buy bonds or to check on the maturity of bonds you own."
222,F,Fish and Wildlife Service (FWS),"The Fish and Wildlife Service (FWS) works to conserve, protect and enhance fish, wildlife and plants and their habitats."
223,F,Fleet Forces Command (USFFC),"U.S. Fleet Forces Command (USFFC) organizes, staffs, trains, maintains, and equips Navy forces, and develops fleet readiness."
224,F,"Food and Agriculture, National Institute of (NIFA)",The National Institute of Food and Agriculture (NIFA) is a research and grant-making organization focused on agriculture.
225,F,Food and Drug Administration (FDA),"The Food and Drug Administration (FDA) is responsible for protecting the public health by assuring the safety, efficacy, and security of human and veterinary drugs, biological products, medical devices, our nation's food supply, cosmetics, and products that emit radiation. The FDA also provides accurate, science-based health information to the public."
226,F,Food and Nutrition Service (FNS),"The Food and Nutrition Service (FNS) provides children and low-income people access to food, a healthful diet, and nutrition education."
227,F,Food Safety and Inspection Service (FSIS),"The Food Safety and Inspection Service (FSIS) protects the public's health by ensuring the safety of meat, poultry and egg products."
228,F,Foreign Agricultural Service (FAS),"The Foreign Agricultural Service (FAS) helps bring U.S. agricultural products to international markets by providing resource and market intelligence assistance to exporters. The Foreign Agricultural Service also assists in the administration of foreign food aid, including helping to boost the agricultural capabilities of aid recipients."
229,F,Foreign Claims Settlement Commission (FCSC),"The Foreign Claims Settlement Commission (FCSC) is a quasi-judicial body that hears claims cases brought by U.S. nationals against foreign governments. The jurisdiction of the body is specific, and its decisions are final."
230,F,Forest Service,"The Forest Service works to sustain the health, diversity, and productivity of the nation's forests and grasslands."
231,F,Fossil Energy (FECM),"The Office of Fossil Energy and Carbon Management (FECM) is responsible for research and development of programs involving coal, petroleum, and natural gas."
232,F,Freddie Mac,"Freddie Mac's mission is to serve America's homebuyers, homeowners, and renters by equitably providing liquidity, stability, and affordability to the housing market. Freddie Mac is not a federal agency. It is a government-sponsored enterprise under the conservatorship of the Federal Housing Finance Agency (FHFA)."
233,F,Fulbright Program,"The Fulbright Program offers grants to study, teach and conduct research for U.S. citizens to go abroad, and non-U.S. citizens to come to the United States."
234,G,General Services Administration (GSA),The General Services Administration (GSA) manages federal property and provides contracting options for government agencies.
235,G,Geological Survey (USGS),"The U.S. Geological Survey (USGS) is the nation's largest water, earth, and biological science and civilian mapping agency. It collects, monitors, analyzes, and provides scientific understanding of natural resource conditions, issues, and problems."
236,G,Ginnie Mae,"Ginnie Mae is a self-financing, wholly owned U.S. Government corporation within the Department of Housing and Urban Development. It is the primary financing mechanism for all government-insured or government-guaranteed mortgage loans."
237,G,"Global Media, Agency for","The U.S. Agency for Global Media, formerly known as the Broadcasting Board of Governors, broadcasts news and information about the United States and the world to audiences abroad."
238,G,Government Accountability Office (GAO),The Government Accountability Office (GAO) gathers information to help Congress determine how effectively executive branch agencies are doing their jobs.
239,G,"Government Ethics, Office of (OGE)","The Office of Government Ethics (OGE) provides oversight, policy, and guidance to the Executive Branch regarding ethics laws and policies."
240,G,Government Publishing Office (GPO),"The Government Publishing Office (GPO) publishes and distributes official government publications to Congress, federal agencies, federal depository libraries, and the public. Anyone may use the services of a federal depository library to access government publications."
241,H,Harry S. Truman Scholarship Foundation,"The Harry S. Truman Scholarship Foundation provides scholarships to college juniors who demonstrate outstanding potential, and who plan to pursue a career in public service."
242,H,Health and Human Services Department (HHS),The Department of Health and Human Services (HHS) protects the health of all Americans and provides essential human services.
243,H,Health Resources and Services Administration (HRSA),"The Health Resources and Services Administration (HRSA) improves access to health care for people who are uninsured, isolated, or medically vulnerable."
244,H,Helsinki Commission,The Commission on Security and Cooperation in Europe monitors and encourages compliance with the Helsinki Final Act and other Organization for Security and Co-operation in Europe commitments.
245,H,Holocaust Memorial Museum,"A living memorial to the victims of the Holocaust, the Memorial Museum was built on donated federal land and is funded through private donations."
246,H,Homeland Security Department (DHS),"The Department of Homeland Security (DHS) works to improve the security of the United States. The Department's work includes customs, border, and immigration enforcement, emergency response to natural and manmade disasters, antiterrorism work, and cybersecurity."
247,H,Hour and Wage Division (WHD),"The Division of Hours and Wages (WHD) is responsible for enforcing the country's labor laws, including those related to the minimum wage and employment of minors."
248,H,House of Representatives,"The U.S. House of Representatives and the U.S. Senate make up the two chambers of Congress. The House has 435 members, the number representing each state is determined by population."
249,H,House Office of Inspector General (OIG),The Office of Inspector General (OIG) conducts audits of the financial and administrative operations of the House of Representatives.
250,H,House Office of the Clerk,"The Office of the Clerk performs administrative functions for the U.S. House of Representatives, including creating and retaining the House Journal, calling new members to order, tracking questions of order, and managing the offices and staff of deceased or retired representatives."
251,H,"Housing and Urban Development, Department of (HUD)",The Department of Housing and Urban Development (HUD) administers programs that provide housing and community development assistance. The Department also works to ensure fair and equal housing opportunity for all.
252,H,Housing Office,The Office of Housing regulates the housing industry and administers the Federal Housing Administration. The regulatory programs administered by the Office of Housing include single family housing and multifamily housing programs.
253,I,Immigrant and Employee Rights Section (IER),The Immigrant and Employee Rights Section (IER) is responsible for protecting immigrants authorized to work in the U.S. against employment discrimination.
254,I,Immigration and Citizenship Services (USCIS),The U.S. Citizenship and Immigration Services (USCIS) is responsible for processing immigration and naturalization applications and establishing policies regarding immigration services.
255,I,Immigration and Customs Enforcement (ICE),"Immigration and Customs Enforcement (ICE) enforces federal laws governing border control, customs, trade, and immigration."
256,I,Indian Affairs (BIA),"The mission of the Bureau of Indian Affairs (BIA) is to enhance the quality of life, to promote economic opportunity, and to carry out the responsibility to protect and improve the trust assets of American Indians, Indian tribes, and Alaska Natives."
257,I,Indian Arts and Crafts Board (IACB),"The Indian Arts and Crafts Board (IACB) enforces the Indian Arts and Crafts Act of 1990 that prohibits false advertising in the marketing of Indian arts or crafts. The Board also provides certified Indian-owned business listings, provides federally recognized tribes with business assistance, and operates several Indian Arts and Crafts museums."
258,I,Indian Health Service (IHS),The Indian Health Service (IHS) provides federal health services to American Indians and Alaska Natives.
259,I,Indo-Pacific Command (USINDOPACOM),The U.S. Indo-Pacific Command (USINDOPACOM) is responsible for defending and promoting U.S. interests in the Pacific and Asia.
260,I,Indoor Air Quality (IAQ),The Indoor Air Quality Division (IAQ) is part of the U.S. Environmental Protection Agency and aims to raise public awareness of information related to indoor air quality.
261,I,"Industry and Security, Bureau of (BIS)",The Bureau of Industry and Security (BIS) promotes the nationâ€™s economic development and technological advancement by ensuring an effective export control and treaty compliance system.
262,I,Inspectors General (CIGIE),"The Council of the Inspectors General on Integrity and Efficiency (CIGIE) address integrity, economy, and effectiveness issues in the federal government."
263,I,Institute of Education Sciences (IES),The Institute of Education Sciences (IES) provides rigorous evidence on which to base educational policy and practices.
264,I,Institute of Museum and Library Services (IMLS),"The Institute of Museum and Library Services (IMLS) is a grant making organization that also conducts research and develops policy. The Institute helps libraries and museums innovate, fosters lifelong learning and cultural and civic engagement."
265,I,Inter-American Foundation (IAF),The Inter-American Foundation (IAF) provides grant support to Latin American and Caribbean grass-roots groups and non-governmental organizations with creative self-help ideas.
266,I,Interagency Alternative Dispute Resolution Working Group,The Interagency Alternative Dispute Resolution Working Group helps federal agencies develop and implement Alternative Dispute Resolution programs.
267,I,Interagency Committee for the Management of Noxious and Exotic Weeds,"With representatives from 16 federal agencies, this committee partners with the public and private organizations to identify and manage invasive plants in the U.S."
268,I,Interior Department (DOI),"The Department of the Interior (DOI) manages public lands and minerals, national parks, and wildlife refuges and upholds Federal trust responsibilities to Indian tribes and Native Alaskans. Additionally, Interior is responsible for endangered species conservation and other environmental conservation efforts."
269,I,Internal Revenue Service (IRS),The Internal Revenue Service (IRS) administers and enforces U.S. federal tax laws.
270,I,International Development Finance Corporation (DFC),The U.S. International Development Finance Corporation (DFC) is Americaâ€™s development bank. DFC partners with the private sector to finance solutions to the most critical challenges facing the developing world.
271,I,"International Labor Affairs, Bureau of (ILAB)","The Bureau of International Labor Affairs (ILAB) works to improve working conditions, raise living standards, protect workersâ€™ ability to exercise their rights, and address the workplace exploitation of children and other vulnerable populations."
272,I,International Trade Administration (ITA),"The International Trade Administration (ITA) promotes U.S. exports by providing diplomatic support, helping to shape trade policy, removing trade barriers, and enforcing U.S. trade laws and agreements."
273,I,International Trade Commission (USITC),"The International Trade Commission (USITC) investigates whether or not, and to what extent, an unfair trade practice harms U.S. businesses. When unfair trade practices are found to harm U.S. businesses, the Commission may implement corrective measures. The Commission also provides the President and Congress impartial information on international trade to inform trade policy."
274,I,Interpol,"Interpol Washington, the U.S. National Central Bureau, coordinates law enforcement activities between U.S. agencies and their international counterparts."
275,J,James Madison Memorial Fellowship Foundation,The James Madison Memorial Fellowship Foundation offers fellowship opportunities to individuals who are seeking a Master's degree in order to teach secondary students about the U.S. Constitution.
276,J,Japan-United States Friendship Commission (JUSFC),"The Japan-United States Friendship Commission (JUSFC) gives grants to stimulate engagement in business, educational, or cultural exchanges with Japan."
277,J,Job Corps,Job Corps is a nationwide residential career training program that helps young people (ages 16 to 24) improve the quality of their lives through vocational and academic training.
278,J,John F. Kennedy Center for the Performing Arts,"The John F. Kennedy Center for the Performing Arts is a living memorial to President John F. Kennedy. The Center offers a wide range of performances, including frequent free or low-cost performances. The Center also runs a number of educational and outreach programs."
279,J,Joint Board for the Enrollment of Actuaries,The Joint Board for the Enrollment of Actuaries specifies the standards and qualifications an individual must meet in order to perform actuarial services.
280,J,Joint Chiefs of Staff,The Joint Chiefs of Staff coordinate planning and strategy across the military services.
281,J,Joint Congressional Committee on Inaugural Ceremonies (JCCIC),"Made up of members of the House and Senate, the Joint Congressional Committee on Inaugural Ceremonies (JCCIC) is responsible for planning and carrying out the President's swearing-in ceremony at the U.S. Capitol."
282,J,Joint Fire Science Program (JFSP),"The Joint Fire Science Program (JFSP) provides fire science information, resources and funding announcements for scientists, fire practitioners, and decision makers."
283,J,Joint Forces Staff College (JFSC),"The Joint Forces Staff College (JFSC) trains military and civilian decision makers in joint operations planning, strategy, and management."
284,J,"Joint Program Executive Office for Chemical, Biological, Radiological and Nuclear Defense (JPEO-CBRND)","The Joint Program Executive Office for Chemical, Biological, Radiological and Nuclear Defense (JPEO-CBRND) works to deter, detect, and if necessary, deal with the consequences of a weapon of mass destruction attack."
285,J,Judicial Circuit Courts of Appeal,"The U.S. Courts of Appeal hear appeals from lower courts of both civil and criminal trials, but do not investigate the facts of a case. Rather, the Appeals Courts investigate whether or not the law has been fairly and correctly applied by the lower courts."
286,J,Judicial Panel on Multidistrict Litigation (JPML),The Judicial Panel on Multidistrict Litigation (JPML) determines whether civil actions pending in two or more federal judicial districts should be transferred to a single federal district court for pretrial proceedings.
287,J,Justice Department (DOJ),"The Department of Justice (DOJ) enforces federal laws, seeks just punishment for the guilty, and ensures the fair and impartial administration of justice."
288,J,"Justice Programs, Office of (OJP)","The Office of Justice Programs (OJP) is a research and grant-making organization that works to provide local and state law enforcement agencies with information, training, coordination, and innovative strategies for dealing with the most pressing law enforcement issues."
289,J,"Justice Statistics, Bureau of (BJS)","The Bureau of Justice Statistics (BJS) publishes information on crime, criminal offenders, victims of crime, and the operation of justice systems."
290,J,"Juvenile Justice and Delinquency Prevention, Office of (OJJDP)","The Office of Juvenile Justice and Delinquency Prevention (OJJDP) sponsors research, programs and training initiatives in an effort to strengthen the juvenile justice system and serve at risk youth and their families."
291,K,Kennedy Center,"The John F. Kennedy Center for the Performing Arts is a living memorial to President John F. Kennedy. The Center offers a wide range of performances, including frequent free or low-cost performances. The Center also runs a number of educational and outreach programs."
292,L,Labor Department (DOL),"The Department of Labor (DOL) administers federal labor laws to guarantee workers' rights to fair, safe, and healthy working conditions, including minimum hourly wage and overtime pay, protection against employment discrimination, and unemployment insurance."
293,L,"Labor Statistics, Bureau of (BLS)","The Bureau of Labor Statistics (BLS) measures labor market activity, working conditions, and price changes in the economy."
294,L,"Land Management, Bureau of (BLM)","The Bureau of Land Management (BLM) manages outdoor recreation, livestock grazing, mineral development, and energy production on public lands."
295,L,Legal Services Corporation,"The Legal Services Corporation is an independent corporation founded by Congress that provides grant funds, training, and technical assistance to civil legal aid programs. The Corporation ensures low income individuals and families have access to quality legal aid."
296,L,Library of Congress,"The Library of Congress provides Congress with objective research to inform the legislative process, administers the national copyright system, and manages the largest collection of books, recordings, photographs, maps and manuscripts in the world."
297,M,"Manufactured Housing Programs, Office of (OMHP)","The Manufactured Housing Program (OMHP) is a consumer protection program that regulates the construction of certain factory-built housing units called ""manufactured homes""."
298,M,Marine Corps,"The Marine Corps is a branch of the United States Armed Forces responsible for delivering task forces on land, at sea, and in the air."
299,M,Marine Mammal Commission,The Marine Mammal Commission provides oversight of all marine mammal conservation policies and programs carried out by federal regulatory agencies.
300,M,Maritime Administration (MARAD),"The Maritime Commission (MARAD) supports the U.S. merchant marine, improves port efficiency, and maintains an adequate ship building and repair infrastructure."
301,M,Marshals Service (USMS),"The U.S. Marshals Service (USMS) provides security to the federal judiciary and manages the witness security program. It manages and sells seized or forfeited assets of criminals, is responsible for the confinement and transportation of federal prisoners who have not been turned over to the Bureau of Prisons and is the primary federal agency responsible for fugitive investigations."
302,M,Mediation and Conciliation Service (FMCS),The Federal Mediation and Conciliation Service (FMCS) provides mediation and other conflict resolution services for managing and enhancing labor-management relationships.
303,M,Medicaid (CMS),"The Centers for Medicare and Medicaid Services (CMS) provides health coverage to more than 100 million people through Medicare, Medicaid, the Childrenâ€™s Health Insurance Program, and the Health Insurance Marketplace. The CMS seeks to strengthen and modernize the Nationâ€™s health care system, to provide access to high quality care and improved health at lower costs."
304,M,Medicaid and CHIP Payment and Access Commission (MACPAC),"The Medicaid and CHIP Payment and Access Commission (MACPAC) reviews federal and state medicaid and CHIP policies and makes recommendations to Congress, the department of health and human services, and the states."
305,M,Medicare (CMS),"The Centers for Medicare and Medicaid Services (CMS) provides health coverage to more than 100 million people through Medicare, Medicaid, the Childrenâ€™s Health Insurance Program, and the Health Insurance Marketplace. The CMS seeks to strengthen and modernize the Nationâ€™s health care system, to provide access to high quality care and improved health at lower costs."
306,M,Medicare Payment Advisory Commission (MedPAC),"The Medicare Payment Advisory Commission (MedPAC) advises Congress on a range of issues affecting Medicare, including payments, services, access, and regulations."
307,M,Merit Systems Protection Board (MSPB),"The Merit Systems Protection Board (MSPB) hears appeals from federal employees, and studies federal merit systems in an effort to protect the rights of federal employees."
308,M,Middle East Broadcasting Networks,"The Middle East Broadcasting Network operates Alhurra TV and Radio Sawa. Alhurra TV and Radio Sawa provide news to the people of the Middle East about the region, the world, and the United States."
309,M,Migratory Bird Conservation Commission,The Migratory Bird Conservation Commission considers and approves areas of land or water recommended by the Secretary of the Interior for purchase or rental by the U.S. Fish and Wildlife Service.
310,M,Military Postal Service Agency (MPSA),The Military Postal Service Agency (MPSA) provides worldwide postal services to department of defense personnel and their families.
311,M,Millennium Challenge Corporation (MCC),The Millennium Challenge Corporation (MCC) partners with the best-governed poor countries worldwide to promote economic growth and help people lift themselves out of poverty.
312,M,Mine Safety and Health Administration (MSHA),"The Mine Safety and Health Administration (MSHA) works to prevent mining related deaths, injuries, and illnesses through mine regulations, inspections, and training programs."
313,M,Minority Business Development Agency (MBDA),The Minority Business Development Agency (MBDA) promotes the growth of minority owned and operated businesses.
314,M,"Minority Health, Office of (OMH)",The Office of Minority Health (OMH) improves the health of racial and ethnic minority populations through the development of health policies and programs.
315,M,Mint,The U.S. Mint makes the coins used as money the United States. They also produce special edition coins you can buy for coin collections.
316,M,Missile Defense Agency (MDA),"The Missile Defense Agency (MDA) is a research, development, and acquisition agency that works on ballistic missile defense systems for the United States and its allies."
317,M,Mississippi River Commission (MRC),"The Mississippi River Commission (MRC) researches and provides policy and work recommendations in the areas of flood control, navigation, and environmental projects."
318,N,National Aeronautics and Space Administration (NASA),"The National Aeronautics and Space Administration (NASA) explores space, and researches Earth systems, the solar system, and the universe."
319,N,National Agricultural Library (NAL),The National Agricultural Library (NAL) is the main source of information and research on agriculture.
320,N,National Agricultural Statistics Service (NASS),The Agricultural Statistics Service (NASS) studies and provides the market with detailed information about U.S. agriculture.
321,N,National Archives and Records Administration (NARA),"The National Archives and Records Administration (NARA) preserves U.S. government records, manages the Presidential Libraries system, and publishes laws, regulations, Presidential, and other public documents."
322,N,National Cancer Institute (NCI),"The National Cancer Institute (NCI) conducts and supports research, training, health information distribution, and other programs related to the cause, diagnosis, prevention, and treatment of cancer, rehabilitation from cancer, and the continuing care of cancer patients and the families of cancer patients."
323,N,National Capital Planning Commission (NCPC),"The National Capital Planning Commission (NCPC) crafts long-range plans and policies for the National Capital Region. The Commission provides building and zoning advice to Washington, DC and the surrounding area, and approves various federal construction plans."
324,N,National Cemetery Administration (NCA),"The National Cemetery Administration (NCA) provides burial space for Veterans and their eligible family members, and maintains national cemeteries as national shrines, sacred to the honor and memory of those interred or memorialized there."
325,N,National Center for Complementary and Integrative Health (NCCIH),The National Center for Complementary and Integrative Health (NCCIH) conducts and supports research and provides information about complementary health products and practices. It is part of the National Institutes of Health.
326,N,National Constitution Center,The National Constitution Center is a state-of-the-art museum dedicated to the study of the U.S. Constitution. The museum is also a national hub for constitutional education and outreach.
327,N,National Council on Disability (NCD),The National Council on Disability (NCD) makes recommendations to the President and Congress on policies affecting Americans with disabilities. They empower individuals with disabilities and promote equal opportunity.
328,N,National Credit Union Administration (NCUA),The National Credit Union Administration (NCUA) charters and supervises federal credit unions and insures savings in federal and most state-chartered credit unions.
329,N,National Defense University (NDU),The National Defense University (NDU) provides educational opportunities for military personnel and civilians.
330,N,National Endowment for the Arts (NEA),"The National Endowment for the Arts (NEA) funds, promotes, and strengthens the creative capacity of our communities by providing all Americans with opportunities for arts participation."
331,N,National Endowment for the Humanities (NEH),"The National Endowment for the Humanities (NEH) funds humanities programs in the United States such as museums, archives, libraries, colleges, universities, public television, radio stations, and individual scholars."
332,N,National Flood Insurance Program (NFIP),National Flood Insurance Program (NFIP) provides affordable insurance to property owners and encourages communities to adopt and enforce floodplain management regulations.
333,N,National Gallery of Art,"The National Gallery of Art collects, preserves and exhibits art works, and works to promote the understanding of art through research and educational programs."
334,N,National Geospatial-Intelligence Agency (NGA),The National Geospatial-Intelligence Agency (NGA) provides location-based intelligence in support of national security.
335,N,National Guard,"The National Guard provides trained units to the states, territories and the District of Columbia to protect life and property. The Guard also provides trained units to defend the United States and its interests all over the globe."
336,N,National Health Information Center (NHIC),The National Health Information Center (NHIC) helps connect health professionals and consumers to the organizations that can best answer their questions by providing up-to-date contact information for the most reliable resources.
337,N,"National Heart, Lung, and Blood Institute (NHLBI)","The National Heart, Lung, and Blood Institute (NHLBI) provides training, and education programs to promote the prevention and treatment of heart, lung, and blood diseases to enhance the health of all individuals."
338,N,National Highway Traffic Safety Administration (NHTSA),"The National Highway Traffic Safety Administration (NHTSA) investigates safety defects in motor vehicles, sets and enforces fuel economy standards, helps states and local communities reduce the threat of drunk drivers, promotes the use of safety belts, child safety seats and air bags, investigates odometer fraud, establishes and enforces vehicle anti-theft regulations, conducts research on driver behavior and traffic safety, and provides consumer information on motor vehicle safety topics."
339,N,National Indian Gaming Commission,"The National Indian Gaming Commission is a regulatory body that oversees some aspects of gaming on Indian lands, often complementing the work of Indian regulators."
340,N,National Institute for Occupational Safety and Health (NIOSH),The National Institute for Occupational Safety and Health (NIOSH) conducts research and makes recommendations for the prevention of work-related injury and illness.
341,N,National Institute of Allergy and Infectious Diseases (NIAID),"The National Institute of Allergy and Infectious Diseases (NIAID) provides health information on allergic, infectious, and immunologic diseases. Diseases include food allergy, sinusitis, and genital herpes. Consumers can call or write to the institute with questions and can order publications over the phone or on the Web site."
342,N,"National Institute of Arthritis, Musculoskeletal and Skin Diseases (NIAMS)","The National Institute of Arthritis and Musculoskeletal and Skin Diseases (NIAMS) supports research into the causes, treatment, and prevention of arthritis, musculoskeletal, and skin diseases."
343,N,National Institute of Corrections (NIC),"The National Institute of Corrections (NIC) gives training, technical assistance, and information services to federal, state, and local corrections facilities."
344,N,National Institute of Deafness and Other Communication Disorders (NIDCD),"The National Institute of Deafness and Other Communication Disorders (NIDCD) supports biomedical and behavioral research on hearing, balance, smell, taste, voice, speech and language."
